"Timestamp","FCU-00-04  PIR Log","FCU-00-04   Enable Log","FCU-00-04  Status Log"
"9/03/2020 7:47:13 AM","0.00","1.00","1.00"
"9/03/2020 7:47:11 AM","0.00","1.00","0.00"
"9/03/2020 7:42:23 AM","0.00","0.00","0.00"
"9/03/2020 7:42:21 AM","0.00","0.00","1.00"
"9/03/2020 7:08:50 AM","0.00","1.00","1.00"
"9/03/2020 7:00:00 AM","1.00","1.00","1.00"
"9/03/2020 6:00:09 AM","0.00","1.00","1.00"
"9/03/2020 6:00:01 AM","0.00","1.00","0.00"
"7/03/2020 6:38:13 PM","0.00","0.00","0.00"
"7/03/2020 6:38:11 PM","0.00","0.00","1.00"
"7/03/2020 6:07:10 PM","0.00","1.00","1.00"
"7/03/2020 6:00:53 PM","1.00","1.00","1.00"
"7/03/2020 6:00:51 PM","1.00","1.00","0.00"
"7/03/2020 5:54:47 PM","1.00","0.00","0.00"
"7/03/2020 12:49:08 PM","0.00","0.00","0.00"
"7/03/2020 12:49:01 PM","0.00","0.00","1.00"
"7/03/2020 12:18:01 PM","0.00","1.00","1.00"
"7/03/2020 12:07:23 PM","1.00","1.00","1.00"
"7/03/2020 12:07:21 PM","1.00","1.00","0.00"
"7/03/2020 12:01:16 PM","1.00","0.00","0.00"
"6/03/2020 12:03:03 PM","0.00","0.00","0.00"
"6/03/2020 12:03:01 PM","0.00","0.00","1.00"
"6/03/2020 11:31:54 AM","0.00","1.00","1.00"
"6/03/2020 11:26:53 AM","1.00","1.00","1.00"
"6/03/2020 11:26:51 AM","1.00","1.00","0.00"
"6/03/2020 11:26:46 AM","1.00","0.00","0.00"
"6/03/2020 10:35:33 AM","0.00","0.00","0.00"
"6/03/2020 10:35:31 AM","0.00","0.00","1.00"
"6/03/2020 10:04:25 AM","0.00","1.00","1.00"
"6/03/2020 9:56:48 AM","1.00","1.00","1.00"
"6/03/2020 7:56:03 AM","0.00","1.00","1.00"
"6/03/2020 7:56:01 AM","0.00","1.00","0.00"
"6/03/2020 7:35:23 AM","0.00","0.00","0.00"
"6/03/2020 7:35:21 AM","0.00","0.00","1.00"
"6/03/2020 7:04:08 AM","0.00","1.00","1.00"
"6/03/2020 6:56:10 AM","1.00","1.00","1.00"
"6/03/2020 6:00:03 AM","0.00","1.00","1.00"
"6/03/2020 6:00:01 AM","0.00","1.00","0.00"
"5/03/2020 7:39:53 PM","0.00","0.00","0.00"
"5/03/2020 7:39:51 PM","0.00","0.00","1.00"
"5/03/2020 7:08:41 PM","0.00","1.00","1.00"
"5/03/2020 7:00:23 PM","1.00","1.00","1.00"
"5/03/2020 7:00:21 PM","1.00","1.00","0.00"
"5/03/2020 6:54:18 PM","1.00","0.00","0.00"
"5/03/2020 6:00:03 PM","0.00","0.00","0.00"
"5/03/2020 6:00:01 PM","0.00","0.00","1.00"
"5/03/2020 5:33:26 PM","0.00","1.00","1.00"
"5/03/2020 5:14:43 PM","1.00","1.00","1.00"
"5/03/2020 5:14:41 PM","1.00","1.00","0.00"
"5/03/2020 5:14:40 PM","1.00","0.00","0.00"
"5/03/2020 7:38:43 AM","0.00","0.00","0.00"
"5/03/2020 7:38:41 AM","0.00","0.00","1.00"
"5/03/2020 7:07:34 AM","0.00","1.00","1.00"
"5/03/2020 7:00:14 AM","1.00","1.00","1.00"
"5/03/2020 7:00:11 AM","1.00","1.00","0.00"
"5/03/2020 7:00:04 AM","1.00","0.00","0.00"
"5/03/2020 6:19:46 AM","0.00","0.00","0.00"
"5/03/2020 6:19:41 AM","0.00","0.00","1.00"
"5/03/2020 6:19:33 AM","0.00","1.00","1.00"
"5/03/2020 6:19:31 AM","0.00","1.00","0.00"
"5/03/2020 6:19:23 AM","0.00","0.00","0.00"
"5/03/2020 6:19:21 AM","0.00","0.00","1.00"
"5/03/2020 6:16:53 AM","0.00","1.00","1.00"
"5/03/2020 6:16:51 AM","0.00","1.00","0.00"
"5/03/2020 6:16:35 AM","0.00","0.00","0.00"
"5/03/2020 6:16:31 AM","0.00","0.00","1.00"
"5/03/2020 6:15:33 AM","0.00","1.00","1.00"
"5/03/2020 6:15:31 AM","0.00","1.00","0.00"
"5/03/2020 6:06:53 AM","0.00","0.00","0.00"
"5/03/2020 6:06:51 AM","0.00","0.00","1.00"
"5/03/2020 6:00:14 AM","0.00","1.00","1.00"
"5/03/2020 6:00:11 AM","0.00","1.00","0.00"
"4/03/2020 4:06:13 PM","0.00","0.00","0.00"
"4/03/2020 4:06:11 PM","0.00","0.00","1.00"
