"Timestamp","FCU-00-06   PIR Log","FCU-00-06   Enable Log","FCU-00-06   Status Log"
"10/03/2020 5:50:55 AM","1.00","0.00","0.00"
"9/03/2020 5:56:26 PM","0.00","0.00","0.00"
"9/03/2020 5:56:23 PM","0.00","0.00","1.00"
"9/03/2020 5:25:14 PM","0.00","1.00","1.00"
"9/03/2020 5:17:16 PM","1.00","1.00","1.00"
"9/03/2020 5:09:02 PM","0.00","1.00","1.00"
"9/03/2020 4:57:47 PM","1.00","1.00","1.00"
"9/03/2020 4:55:45 PM","0.00","1.00","1.00"
"9/03/2020 4:35:50 PM","1.00","1.00","1.00"
"9/03/2020 4:35:43 PM","1.00","1.00","0.00"
"9/03/2020 4:19:06 PM","0.00","0.00","0.00"
"9/03/2020 4:19:03 PM","0.00","0.00","1.00"
"9/03/2020 3:47:55 PM","0.00","1.00","1.00"
"9/03/2020 2:20:56 PM","1.00","1.00","1.00"
"9/03/2020 2:15:09 PM","0.00","1.00","1.00"
"9/03/2020 12:55:49 PM","1.00","1.00","1.00"
"9/03/2020 12:55:43 PM","1.00","1.00","0.00"
"9/03/2020 12:55:42 PM","1.00","0.00","0.00"
"9/03/2020 12:35:36 PM","0.00","0.00","0.00"
"9/03/2020 12:35:33 PM","0.00","0.00","1.00"
"9/03/2020 12:04:28 PM","0.00","1.00","1.00"
"9/03/2020 11:55:38 AM","1.00","1.00","1.00"
"9/03/2020 11:55:37 AM","1.00","1.00","1.00"
"9/03/2020 11:55:36 AM","1.00","1.00","0.00"
"9/03/2020 11:54:59 AM","1.00","1.00","1.00"
"9/03/2020 11:21:26 AM","1.00","1.00","1.00"
"9/03/2020 11:21:25 AM","1.00","1.00","0.00"
"9/03/2020 11:21:19 AM","1.00","1.00","1.00"
"9/03/2020 11:21:17 AM","1.00","1.00","0.00"
"9/03/2020 11:21:13 AM","1.00","1.00","0.00"
"9/03/2020 11:21:06 AM","1.00","0.00","0.00"
"9/03/2020 11:20:06 AM","0.00","0.00","0.00"
"9/03/2020 11:20:03 AM","0.00","0.00","1.00"
"9/03/2020 10:48:57 AM","0.00","1.00","1.00"
"9/03/2020 10:37:33 AM","1.00","1.00","1.00"
"9/03/2020 10:37:23 AM","1.00","1.00","0.00"
"9/03/2020 10:37:15 AM","1.00","0.00","0.00"
"9/03/2020 9:30:36 AM","0.00","0.00","0.00"
"9/03/2020 9:30:33 AM","0.00","0.00","1.00"
"9/03/2020 8:59:19 AM","0.00","1.00","1.00"
